customer_id,recency_days,frequency,monetary,r_score,f_score,m_score,rfm_segment,rfm_total,cluster_id,segment_name
17426,4,13,8049.61,5,5,5,5-5-5,15,1,Champions
15382,14,12,13720.79,5,5,5,5-5-5,15,1,Champions
12841,4,40,6958.2,5,5,5,5-5-5,15,1,Champions
12747,2,26,8898.48,5,5,5,5-5-5,15,1,Champions
12682,3,51,20492.78,5,5,5,5-5-5,15,1,Champions
14735,3,55,12225.16,5,5,5,5-5-5,15,1,Champions
14189,2,16,5497.87,5,5,5,5-5-5,15,1,Champions
17491,1,17,5467.11,5,5,5,5-5-5,15,1,Champions
16684,4,55,94376.49,5,5,5,5-5-5,15,1,Champions
17920,4,54,23479.4,5,5,5,5-5-5,15,1,Champions
15290,4,26,10450.52,5,5,5,5-5-5,15,1,Champions
12782,4,11,3862.24,5,5,5,5-5-5,15,1,Champions
13448,16,12,8386.22,5,5,5,5-5-5,15,1,Champions
16133,3,56,21695.66,5,5,5,5-5-5,15,1,Champions
15152,9,14,5263.83,5,5,5,5-5-5,15,1,Champions
16717,9,14,6663.68,5,5,5,5-5-5,15,1,Champions
13199,3,66,13115.29,5,5,5,5-5-5,15,1,Champions
16814,14,36,11914.95,5,5,5,5-5-5,15,1,Champions
17173,5,8,3766.6,5,5,5,5-5-5,15,1,Champions
14733,9,15,14335.15,5,5,5,5-5-5,15,1,Champions
17364,0,28,11866.92,5,5,5,5-5-5,15,1,Champions
18219,2,17,3352.7,5,5,5,5-5-5,15,1,Champions
17449,2,13,4865.15,5,5,5,5-5-5,15,1,Champions
17949,1,116,37728.3,5,5,5,5-5-5,15,1,Champions
13018,16,35,9763.16,5,5,5,5-5-5,15,1,Champions
17858,5,30,11712.25,5,5,5,5-5-5,15,1,Champions
12490,5,20,8669.0,5,5,5,5-5-5,15,1,Champions
16326,5,24,4626.25,5,5,5,5-5-5,15,1,Champions
12921,3,74,35223.24,5,5,5,5-5-5,15,1,Champions
14085,2,32,9703.99,5,5,5,5-5-5,15,1,Champions
16241,9,16,3989.81,5,5,5,5-5-5,15,1,Champions
14755,9,25,9972.55,5,5,5,5-5-5,15,1,Champions
15024,9,16,3559.39,5,5,5,5-5-5,15,1,Champions
15039,9,93,38478.08,5,5,5,5-5-5,15,1,Champions
15046,9,25,7345.08,5,5,5,5-5-5,15,1,Champions
12524,9,17,9277.75,5,5,5,5-5-5,15,1,Champions
13510,1,11,4558.29,5,5,5,5-5-5,15,1,Champions
17754,0,13,4445.3,5,5,5,5-5-5,15,1,Champions
14298,3,82,87083.24,5,5,5,5-5-5,15,1,Champions
16719,14,14,3506.94,5,5,5,5-5-5,15,1,Champions
13435,5,9,4428.29,5,5,5,5-5-5,15,1,Champions
17644,1,20,6028.6,5,5,5,5-5-5,15,1,Champions
14258,9,25,29762.54,5,5,5,5-5-5,15,1,Champions
17618,5,11,4001.64,5,5,5,5-5-5,15,1,Champions
16013,3,84,35282.74,5,5,5,5-5-5,15,1,Champions
13048,14,9,4017.45,5,5,5,5-5-5,15,1,Champions
15498,2,44,24968.86,5,5,5,5-5-5,15,1,Champions
16931,5,23,5032.22,5,5,5,5-5-5,15,1,Champions
15611,9,24,2940.48,5,5,5,5-5-5,15,1,Champions
17581,0,43,17951.17,5,5,5,5-5-5,15,1,Champions
17428,0,45,30588.78,5,5,5,5-5-5,15,1,Champions
15061,3,127,101384.55,5,5,5,5-5-5,15,1,Champions
17340,9,18,19612.67,5,5,5,5-5-5,15,1,Champions
16255,16,15,4530.0,5,5,5,5-5-5,15,1,Champions
16905,5,17,4704.27,5,5,5,5-5-5,15,1,Champions
14062,9,24,24618.53,5,5,5,5-5-5,15,1,Champions
14329,8,15,9848.14,5,5,5,5-5-5,15,1,Champions
16210,1,33,18217.17,5,5,5,5-5-5,15,1,Champions
